timestamp,event,placement,COP_x,COP_y,total_pressure
2024-04-16 13:36:11+02:00,Tug_Event.start,,,,30758.0
2024-04-16 13:36:12.100000+02:00,Tug_Event.stand,,7,157,36206.0
2024-04-16 13:36:13.700000+02:00,Tug_Event.walk1,,19,153,28252.0
2024-04-16 13:36:13.800000+02:00,Tug_Event.double_stance,,15,144,47802.0
2024-04-16 13:36:13.900000+02:00,Tug_Event.double_stance,,14,140,41479.0
2024-04-16 13:36:14+02:00,Tug_Event.foot,Placement.right,10,130,30607.0
2024-04-16 13:36:14.100000+02:00,Tug_Event.foot,Placement.right,10,130,30607.0
2024-04-16 13:36:14.200000+02:00,Tug_Event.foot,Placement.right,10,128,31835.0
2024-04-16 13:36:14.300000+02:00,Tug_Event.foot,Placement.right,10,127,32054.0
2024-04-16 13:36:14.400000+02:00,Tug_Event.foot,Placement.right,10,127,32024.0
2024-04-16 13:36:14.500000+02:00,Tug_Event.foot,Placement.right,10,126,30252.0
2024-04-16 13:36:14.600000+02:00,Tug_Event.foot,Placement.right,10,125,30748.0
2024-04-16 13:36:14.700000+02:00,Tug_Event.double_stance,,14,117,49110.0
2024-04-16 13:36:14.800000+02:00,Tug_Event.double_stance,,15,113,52409.0
2024-04-16 13:36:14.900000+02:00,Tug_Event.double_stance,,15,113,52409.0
2024-04-16 13:36:15+02:00,Tug_Event.double_stance,,17,106,45828.0
2024-04-16 13:36:15.100000+02:00,Tug_Event.foot,Placement.left,19,100,40798.0
2024-04-16 13:36:15.200000+02:00,Tug_Event.foot,Placement.left,19,98,39943.0
2024-04-16 13:36:15.300000+02:00,Tug_Event.foot,Placement.left,19,97,37469.0
2024-04-16 13:36:15.400000+02:00,Tug_Event.foot,Placement.left,19,97,37043.0
2024-04-16 13:36:15.500000+02:00,Tug_Event.foot,Placement.left,19,96,36681.0
2024-04-16 13:36:15.600000+02:00,Tug_Event.foot,Placement.left,17,92,44260.0
2024-04-16 13:36:15.700000+02:00,Tug_Event.foot,Placement.left,15,87,50320.0
2024-04-16 13:36:15.800000+02:00,Tug_Event.double_stance,,13,83,42679.0
2024-04-16 13:36:15.900000+02:00,Tug_Event.double_stance,,12,80,50164.0
2024-04-16 13:36:16+02:00,Tug_Event.double_stance,,12,78,54868.0
2024-04-16 13:36:16.100000+02:00,Tug_Event.foot,Placement.right,9,70,37653.0
2024-04-16 13:36:16.200000+02:00,Tug_Event.foot,Placement.right,10,70,33743.0
2024-04-16 13:36:16.300000+02:00,Tug_Event.foot,Placement.right,10,69,33374.0
2024-04-16 13:36:16.400000+02:00,Tug_Event.foot,Placement.right,9,69,34705.0
2024-04-16 13:36:16.500000+02:00,Tug_Event.foot,Placement.right,9,69,34705.0
2024-04-16 13:36:16.600000+02:00,Tug_Event.double_stance,,10,65,41037.0
2024-04-16 13:36:16.700000+02:00,Tug_Event.double_stance,,11,60,54140.0
2024-04-16 13:36:16.800000+02:00,Tug_Event.double_stance,,12,55,58019.0
2024-04-16 13:36:16.900000+02:00,Tug_Event.double_stance,,13,52,52324.0
2024-04-16 13:36:17+02:00,Tug_Event.foot,Placement.left,16,40,31823.0
2024-04-16 13:36:17.100000+02:00,Tug_Event.foot,Placement.left,16,39,29152.0
2024-04-16 13:36:17.200000+02:00,Tug_Event.foot,Placement.left,16,39,31665.0
2024-04-16 13:36:17.300000+02:00,Tug_Event.foot,Placement.left,16,38,29934.0
2024-04-16 13:36:17.400000+02:00,Tug_Event.foot,Placement.left,16,38,29934.0
2024-04-16 13:36:17.500000+02:00,Tug_Event.foot,Placement.left,16,37,31478.0
2024-04-16 13:36:17.600000+02:00,Tug_Event.foot,Placement.left,16,36,31472.0
2024-04-16 13:36:17.700000+02:00,Tug_Event.double_stance,,15,31,38742.0
2024-04-16 13:36:17.800000+02:00,Tug_Event.double_stance,,14,24,51936.0
2024-04-16 13:36:17.900000+02:00,Tug_Event.double_stance,,13,20,44928.0
2024-04-16 13:36:18+02:00,Tug_Event.turn1,,15,10,55701.0
2024-04-16 13:36:19.200000+02:00,Tug_Event.walk2,,8,23,45421.0
2024-04-16 13:36:19.300000+02:00,Tug_Event.foot,Placement.left,8,25,43229.0
2024-04-16 13:36:19.400000+02:00,Tug_Event.foot,Placement.left,8,25,43434.0
2024-04-16 13:36:19.500000+02:00,Tug_Event.foot,Placement.left,8,26,41876.0
2024-04-16 13:36:19.600000+02:00,Tug_Event.foot,Placement.left,8,26,41876.0
2024-04-16 13:36:19.700000+02:00,Tug_Event.foot,Placement.left,8,26,40378.0
2024-04-16 13:36:19.800000+02:00,Tug_Event.double_stance,,11,32,52411.0
2024-04-16 13:36:19.900000+02:00,Tug_Event.double_stance,,13,37,59128.0
2024-04-16 13:36:20+02:00,Tug_Event.double_stance,,14,39,50896.0
2024-04-16 13:36:20.100000+02:00,Tug_Event.double_stance,,17,46,33971.0
2024-04-16 13:36:20.200000+02:00,Tug_Event.foot,Placement.right,18,50,29365.0
2024-04-16 13:36:20.300000+02:00,Tug_Event.foot,Placement.right,18,53,26947.0
2024-04-16 13:36:20.400000+02:00,Tug_Event.foot,Placement.right,18,53,26947.0
2024-04-16 13:36:20.500000+02:00,Tug_Event.foot,Placement.right,18,54,28216.0
2024-04-16 13:36:20.600000+02:00,Tug_Event.foot,Placement.right,18,55,28151.0
2024-04-16 13:36:20.700000+02:00,Tug_Event.foot,Placement.right,19,55,30534.0
2024-04-16 13:36:20.800000+02:00,Tug_Event.double_stance,,14,63,48978.0
2024-04-16 13:36:20.900000+02:00,Tug_Event.double_stance,,13,65,49427.0
2024-04-16 13:36:21+02:00,Tug_Event.double_stance,,11,70,37712.0
2024-04-16 13:36:21.100000+02:00,Tug_Event.foot,Placement.left,7,76,26621.0
2024-04-16 13:36:21.200000+02:00,Tug_Event.foot,Placement.left,7,76,26621.0
2024-04-16 13:36:21.300000+02:00,Tug_Event.foot,Placement.left,7,78,31151.0
2024-04-16 13:36:21.400000+02:00,Tug_Event.foot,Placement.left,7,80,49646.0
2024-04-16 13:36:21.500000+02:00,Tug_Event.foot,Placement.left,7,81,52774.0
2024-04-16 13:36:21.600000+02:00,Tug_Event.foot,Placement.left,7,82,48026.0
2024-04-16 13:36:21.700000+02:00,Tug_Event.foot,Placement.left,9,87,46117.0
2024-04-16 13:36:21.800000+02:00,Tug_Event.double_stance,,11,92,57574.0
2024-04-16 13:36:21.900000+02:00,Tug_Event.double_stance,,14,99,42877.0
2024-04-16 13:36:22+02:00,Tug_Event.double_stance,,14,99,42877.0
2024-04-16 13:36:22.100000+02:00,Tug_Event.foot,Placement.right,17,105,33940.0
2024-04-16 13:36:22.200000+02:00,Tug_Event.foot,Placement.right,17,106,36345.0
2024-04-16 13:36:22.300000+02:00,Tug_Event.foot,Placement.right,16,109,39463.0
2024-04-16 13:36:22.400000+02:00,Tug_Event.foot,Placement.right,17,111,32981.0
2024-04-16 13:36:22.500000+02:00,Tug_Event.foot,Placement.right,16,112,32345.0
2024-04-16 13:36:22.600000+02:00,Tug_Event.double_stance,,16,115,33102.0
2024-04-16 13:36:22.700000+02:00,Tug_Event.double_stance,,15,121,41403.0
2024-04-16 13:36:22.800000+02:00,Tug_Event.double_stance,,15,121,41403.0
2024-04-16 13:36:22.900000+02:00,Tug_Event.double_stance,,14,125,45283.0
2024-04-16 13:36:23+02:00,Tug_Event.foot,Placement.left,12,134,38309.0
2024-04-16 13:36:23.100000+02:00,Tug_Event.foot,Placement.left,12,135,37760.0
2024-04-16 13:36:23.200000+02:00,Tug_Event.foot,Placement.left,12,136,38568.0
2024-04-16 13:36:23.300000+02:00,Tug_Event.foot,Placement.left,11,136,38741.0
2024-04-16 13:36:23.400000+02:00,Tug_Event.foot,Placement.left,11,136,41004.0
2024-04-16 13:36:23.500000+02:00,Tug_Event.foot,Placement.left,12,135,43135.0
2024-04-16 13:36:23.600000+02:00,Tug_Event.double_stance,,10,139,52627.0
2024-04-16 13:36:23.700000+02:00,Tug_Event.double_stance,,10,139,52627.0
2024-04-16 13:36:23.800000+02:00,Tug_Event.turn2,,9,148,45833.0
2024-04-16 13:36:26.400000+02:00,Tug_Event.sit,,11,159,19024.0
2024-04-16 13:36:26.500000+02:00,Tug_Event.end,,,,
