timestamp,event,placement,COP_x,COP_y,total_pressure
2024-04-12 14:45:29.800000+02:00,Tug_Event.start,,,,33945.0
2024-04-12 14:45:30.300000+02:00,Tug_Event.stand,,12,157,48150.0
2024-04-12 14:45:31.200000+02:00,Tug_Event.walk1,,16,150,41592.0
2024-04-12 14:45:31.300000+02:00,Tug_Event.double_stance,,14,142,43317.0
2024-04-12 14:45:31.400000+02:00,Tug_Event.double_stance,,12,137,32106.0
2024-04-12 14:45:31.500000+02:00,Tug_Event.foot,Placement.right,9,131,23614.0
2024-04-12 14:45:31.600000+02:00,Tug_Event.foot,Placement.right,9,131,23163.0
2024-04-12 14:45:31.700000+02:00,Tug_Event.foot,Placement.right,9,131,23163.0
2024-04-12 14:45:31.800000+02:00,Tug_Event.foot,Placement.right,9,131,23888.0
2024-04-12 14:45:31.900000+02:00,Tug_Event.foot,Placement.right,9,131,24247.0
2024-04-12 14:45:32+02:00,Tug_Event.foot,Placement.right,9,129,25597.0
2024-04-12 14:45:32.100000+02:00,Tug_Event.double_stance,,12,120,44890.0
2024-04-12 14:45:32.200000+02:00,Tug_Event.double_stance,,13,117,49903.0
2024-04-12 14:45:32.300000+02:00,Tug_Event.double_stance,,14,113,43475.0
2024-04-12 14:45:32.400000+02:00,Tug_Event.foot,Placement.left,17,107,29297.0
2024-04-12 14:45:32.500000+02:00,Tug_Event.foot,Placement.left,17,106,31909.0
2024-04-12 14:45:32.600000+02:00,Tug_Event.foot,Placement.left,17,106,31909.0
2024-04-12 14:45:32.700000+02:00,Tug_Event.foot,Placement.left,17,104,34539.0
2024-04-12 14:45:32.800000+02:00,Tug_Event.foot,Placement.left,17,103,34836.0
2024-04-12 14:45:32.900000+02:00,Tug_Event.foot,Placement.left,17,101,31125.0
2024-04-12 14:45:33+02:00,Tug_Event.double_stance,,14,94,44324.0
2024-04-12 14:45:33.100000+02:00,Tug_Event.double_stance,,13,90,46041.0
2024-04-12 14:45:33.200000+02:00,Tug_Event.foot,Placement.right,11,83,41853.0
2024-04-12 14:45:33.300000+02:00,Tug_Event.foot,Placement.right,10,79,39446.0
2024-04-12 14:45:33.400000+02:00,Tug_Event.foot,Placement.right,10,78,40249.0
2024-04-12 14:45:33.500000+02:00,Tug_Event.foot,Placement.right,11,77,26850.0
