timestamp,event,placement,COP_x,COP_y,total_pressure
2024-04-16 09:37:57.900000+02:00,Tug_Event.start,,,,33056.0
2024-04-16 09:37:58.500000+02:00,Tug_Event.stand,,15,156,55898.0
2024-04-16 09:37:59.400000+02:00,Tug_Event.walk1,,10,141,39201.0
2024-04-16 09:37:59.500000+02:00,Tug_Event.double_stance,,13,133,50218.0
2024-04-16 09:37:59.600000+02:00,Tug_Event.foot,Placement.left,18,123,39265.0
2024-04-16 09:37:59.700000+02:00,Tug_Event.foot,Placement.left,18,122,40479.0
2024-04-16 09:37:59.800000+02:00,Tug_Event.foot,Placement.left,19,120,43441.0
2024-04-16 09:37:59.900000+02:00,Tug_Event.foot,Placement.left,19,115,35201.0
2024-04-16 09:38:00+02:00,Tug_Event.foot,Placement.left,19,115,35201.0
2024-04-16 09:38:00.100000+02:00,Tug_Event.double_stance,,17,102,43434.0
2024-04-16 09:38:00.200000+02:00,Tug_Event.double_stance,,14,85,30007.0
2024-04-16 09:38:00.300000+02:00,Tug_Event.foot,Placement.left,14,81,33344.0
2024-04-16 09:38:00.400000+02:00,Tug_Event.foot,Placement.left,14,80,38489.0
2024-04-16 09:38:00.500000+02:00,Tug_Event.foot,Placement.left,15,79,45874.0
2024-04-16 09:38:00.600000+02:00,Tug_Event.foot,Placement.left,16,76,37811.0
2024-04-16 09:38:00.700000+02:00,Tug_Event.double_stance,,20,62,62324.0
2024-04-16 09:38:00.800000+02:00,Tug_Event.double_stance,,24,50,32944.0
2024-04-16 09:38:00.900000+02:00,Tug_Event.double_stance,,25,47,23624.0
2024-04-16 09:38:01+02:00,Tug_Event.double_stance,,25,44,19762.0
2024-04-16 09:38:01.100000+02:00,Tug_Event.double_stance,,24,41,26852.0
2024-04-16 09:38:01.200000+02:00,Tug_Event.double_stance,,24,41,26852.0
2024-04-16 09:38:01.300000+02:00,Tug_Event.double_stance,,23,33,39400.0
2024-04-16 09:38:01.400000+02:00,Tug_Event.double_stance,,19,20,56259.0
2024-04-16 09:38:01.500000+02:00,Tug_Event.turn1,,18,17,53118.0
2024-04-16 09:38:03.500000+02:00,Tug_Event.walk2,,11,29,46171.0
2024-04-16 09:38:03.600000+02:00,Tug_Event.foot,Placement.left,8,38,32174.0
2024-04-16 09:38:03.700000+02:00,Tug_Event.foot,Placement.left,7,38,31933.0
2024-04-16 09:38:03.800000+02:00,Tug_Event.foot,Placement.left,7,40,32863.0
2024-04-16 09:38:03.900000+02:00,Tug_Event.foot,Placement.left,7,43,30787.0
2024-04-16 09:38:04+02:00,Tug_Event.double_stance,,11,58,51322.0
2024-04-16 09:38:04.100000+02:00,Tug_Event.double_stance,,14,71,35371.0
2024-04-16 09:38:04.200000+02:00,Tug_Event.foot,Placement.right,17,77,28803.0
2024-04-16 09:38:04.300000+02:00,Tug_Event.foot,Placement.right,17,79,36908.0
2024-04-16 09:38:04.400000+02:00,Tug_Event.foot,Placement.right,16,80,50409.0
2024-04-16 09:38:04.500000+02:00,Tug_Event.foot,Placement.right,16,81,52819.0
2024-04-16 09:38:04.600000+02:00,Tug_Event.double_stance,,13,93,55913.0
2024-04-16 09:38:04.700000+02:00,Tug_Event.double_stance,,8,109,47728.0
2024-04-16 09:38:04.800000+02:00,Tug_Event.foot,Placement.left,7,116,43108.0
2024-04-16 09:38:04.900000+02:00,Tug_Event.foot,Placement.left,7,116,43108.0
2024-04-16 09:38:05+02:00,Tug_Event.foot,Placement.left,7,118,37551.0
2024-04-16 09:38:05.100000+02:00,Tug_Event.foot,Placement.left,7,118,37154.0
2024-04-16 09:38:05.200000+02:00,Tug_Event.double_stance,,8,125,50892.0
2024-04-16 09:38:05.300000+02:00,Tug_Event.double_stance,,11,130,64947.0
2024-04-16 09:38:05.400000+02:00,Tug_Event.turn2,,17,141,47782.0
2024-04-16 09:38:07.500000+02:00,Tug_Event.sit,,13,157,40066.0
2024-04-16 09:38:07.600000+02:00,Tug_Event.end,,,,
