timestamp,event,placement,COP_x,COP_y,total_pressure
2024-04-16 14:05:56.500000+02:00,Tug_Event.start,,,,36546.0
2024-04-16 14:05:57.400000+02:00,Tug_Event.stand,,12,155,34136.0
2024-04-16 14:05:59.800000+02:00,Tug_Event.walk1,,12,140,41749.0
2024-04-16 14:05:59.900000+02:00,Tug_Event.double_stance,,11,138,42130.0
2024-04-16 14:06:00+02:00,Tug_Event.foot,Placement.right,11,136,36250.0
2024-04-16 14:06:00.100000+02:00,Tug_Event.foot,Placement.right,8,131,26195.0
2024-04-16 14:06:00.200000+02:00,Tug_Event.foot,Placement.right,8,130,29095.0
2024-04-16 14:06:00.300000+02:00,Tug_Event.foot,Placement.right,8,129,26828.0
2024-04-16 14:06:00.400000+02:00,Tug_Event.foot,Placement.right,8,129,26828.0
2024-04-16 14:06:00.500000+02:00,Tug_Event.foot,Placement.right,8,128,26474.0
2024-04-16 14:06:00.600000+02:00,Tug_Event.foot,Placement.right,8,127,24041.0
2024-04-16 14:06:00.700000+02:00,Tug_Event.foot,Placement.right,11,123,34830.0
2024-04-16 14:06:00.800000+02:00,Tug_Event.foot,Placement.right,11,121,41051.0
2024-04-16 14:06:00.900000+02:00,Tug_Event.foot,Placement.right,12,120,43493.0
2024-04-16 14:06:01+02:00,Tug_Event.double_stance,,14,117,48755.0
2024-04-16 14:06:01.100000+02:00,Tug_Event.double_stance,,14,117,48755.0
2024-04-16 14:06:01.200000+02:00,Tug_Event.foot,Placement.left,15,115,44939.0
2024-04-16 14:06:01.300000+02:00,Tug_Event.foot,Placement.left,19,110,30992.0
2024-04-16 14:06:01.400000+02:00,Tug_Event.foot,Placement.left,19,111,31373.0
2024-04-16 14:06:01.500000+02:00,Tug_Event.foot,Placement.left,19,109,29563.0
2024-04-16 14:06:01.600000+02:00,Tug_Event.foot,Placement.left,19,108,29470.0
2024-04-16 14:06:01.700000+02:00,Tug_Event.foot,Placement.left,19,108,29470.0
2024-04-16 14:06:01.800000+02:00,Tug_Event.foot,Placement.left,19,108,27601.0
2024-04-16 14:06:01.900000+02:00,Tug_Event.foot,Placement.left,19,107,28238.0
2024-04-16 14:06:02+02:00,Tug_Event.foot,Placement.left,14,100,52165.0
2024-04-16 14:06:02.100000+02:00,Tug_Event.double_stance,,13,99,52627.0
2024-04-16 14:06:02.200000+02:00,Tug_Event.double_stance,,13,96,50303.0
2024-04-16 14:06:02.300000+02:00,Tug_Event.foot,Placement.right,9,91,33849.0
2024-04-16 14:06:02.400000+02:00,Tug_Event.foot,Placement.right,8,91,29919.0
2024-04-16 14:06:02.500000+02:00,Tug_Event.foot,Placement.right,8,91,30542.0
2024-04-16 14:06:02.600000+02:00,Tug_Event.foot,Placement.right,8,91,30542.0
2024-04-16 14:06:02.700000+02:00,Tug_Event.foot,Placement.right,8,90,34520.0
2024-04-16 14:06:02.800000+02:00,Tug_Event.foot,Placement.right,8,89,40221.0
2024-04-16 14:06:02.900000+02:00,Tug_Event.foot,Placement.right,8,87,41690.0
2024-04-16 14:06:03+02:00,Tug_Event.foot,Placement.right,7,85,37442.0
2024-04-16 14:06:03.100000+02:00,Tug_Event.foot,Placement.right,13,79,63207.0
2024-04-16 14:06:03.200000+02:00,Tug_Event.foot,Placement.left,14,77,56485.0
2024-04-16 14:06:03.300000+02:00,Tug_Event.foot,Placement.left,14,76,58360.0
2024-04-16 14:06:03.400000+02:00,Tug_Event.foot,Placement.left,15,75,53392.0
2024-04-16 14:06:03.500000+02:00,Tug_Event.foot,Placement.left,19,71,35294.0
2024-04-16 14:06:03.600000+02:00,Tug_Event.foot,Placement.left,19,71,35418.0
2024-04-16 14:06:03.700000+02:00,Tug_Event.foot,Placement.left,19,70,35190.0
2024-04-16 14:06:03.800000+02:00,Tug_Event.foot,Placement.left,19,70,35716.0
2024-04-16 14:06:03.900000+02:00,Tug_Event.foot,Placement.left,19,69,35925.0
2024-04-16 14:06:04+02:00,Tug_Event.foot,Placement.left,19,69,35925.0
2024-04-16 14:06:04.100000+02:00,Tug_Event.foot,Placement.left,19,69,36800.0
2024-04-16 14:06:04.200000+02:00,Tug_Event.double_stance,,15,62,53731.0
2024-04-16 14:06:04.300000+02:00,Tug_Event.foot,Placement.left,14,59,52677.0
2024-04-16 14:06:04.400000+02:00,Tug_Event.foot,Placement.left,14,58,49446.0
2024-04-16 14:06:04.500000+02:00,Tug_Event.foot,Placement.right,11,54,37630.0
2024-04-16 14:06:04.600000+02:00,Tug_Event.foot,Placement.right,8,49,26869.0
2024-04-16 14:06:04.700000+02:00,Tug_Event.foot,Placement.right,8,49,26869.0
2024-04-16 14:06:04.800000+02:00,Tug_Event.foot,Placement.right,8,48,27478.0
2024-04-16 14:06:04.900000+02:00,Tug_Event.foot,Placement.right,8,47,28469.0
2024-04-16 14:06:05+02:00,Tug_Event.foot,Placement.right,8,47,29513.0
2024-04-16 14:06:05.100000+02:00,Tug_Event.foot,Placement.right,8,46,28570.0
2024-04-16 14:06:05.200000+02:00,Tug_Event.foot,Placement.right,8,46,28570.0
2024-04-16 14:06:05.300000+02:00,Tug_Event.foot,Placement.right,11,41,40613.0
2024-04-16 14:06:05.400000+02:00,Tug_Event.foot,Placement.right,13,38,51206.0
2024-04-16 14:06:05.500000+02:00,Tug_Event.foot,Placement.left,15,35,51563.0
2024-04-16 14:06:05.600000+02:00,Tug_Event.double_stance,,18,32,41443.0
2024-04-16 14:06:05.700000+02:00,Tug_Event.foot,Placement.left,20,29,33649.0
2024-04-16 14:06:05.800000+02:00,Tug_Event.foot,Placement.left,20,29,33021.0
2024-04-16 14:06:05.900000+02:00,Tug_Event.foot,Placement.left,20,29,34042.0
2024-04-16 14:06:06+02:00,Tug_Event.foot,Placement.left,20,29,34042.0
2024-04-16 14:06:06.100000+02:00,Tug_Event.foot,Placement.left,20,28,34698.0
2024-04-16 14:06:06.200000+02:00,Tug_Event.foot,Placement.left,20,27,36658.0
2024-04-16 14:06:06.300000+02:00,Tug_Event.foot,Placement.left,21,25,36738.0
2024-04-16 14:06:06.400000+02:00,Tug_Event.foot,Placement.left,20,25,35051.0
2024-04-16 14:06:06.500000+02:00,Tug_Event.foot,Placement.left,19,22,42998.0
2024-04-16 14:06:06.600000+02:00,Tug_Event.foot,Placement.left,19,22,42998.0
2024-04-16 14:06:06.700000+02:00,Tug_Event.turn1,,18,18,45835.0
2024-04-16 14:06:10.600000+02:00,Tug_Event.walk2,,10,21,36742.0
2024-04-16 14:06:10.700000+02:00,Tug_Event.foot,Placement.left,10,21,36742.0
2024-04-16 14:06:10.800000+02:00,Tug_Event.foot,Placement.left,9,23,31149.0
2024-04-16 14:06:10.900000+02:00,Tug_Event.foot,Placement.left,9,26,34849.0
2024-04-16 14:06:11+02:00,Tug_Event.foot,Placement.left,9,28,32779.0
2024-04-16 14:06:11.100000+02:00,Tug_Event.foot,Placement.left,8,29,30167.0
2024-04-16 14:06:11.200000+02:00,Tug_Event.foot,Placement.left,8,30,30723.0
2024-04-16 14:06:11.300000+02:00,Tug_Event.foot,Placement.left,8,30,30723.0
2024-04-16 14:06:11.400000+02:00,Tug_Event.foot,Placement.left,13,36,47276.0
2024-04-16 14:06:11.500000+02:00,Tug_Event.foot,Placement.right,17,41,33846.0
2024-04-16 14:06:11.600000+02:00,Tug_Event.foot,Placement.right,19,46,27940.0
2024-04-16 14:06:11.700000+02:00,Tug_Event.foot,Placement.right,18,47,27398.0
2024-04-16 14:06:11.800000+02:00,Tug_Event.foot,Placement.right,19,49,26666.0
2024-04-16 14:06:11.900000+02:00,Tug_Event.foot,Placement.right,18,50,26728.0
2024-04-16 14:06:12+02:00,Tug_Event.foot,Placement.right,16,53,36750.0
2024-04-16 14:06:12.100000+02:00,Tug_Event.foot,Placement.right,16,53,36750.0
2024-04-16 14:06:12.200000+02:00,Tug_Event.foot,Placement.right,14,57,46036.0
2024-04-16 14:06:12.300000+02:00,Tug_Event.foot,Placement.left,12,62,41594.0
2024-04-16 14:06:12.400000+02:00,Tug_Event.foot,Placement.left,9,67,32748.0
2024-04-16 14:06:12.500000+02:00,Tug_Event.foot,Placement.left,9,68,33175.0
2024-04-16 14:06:12.600000+02:00,Tug_Event.foot,Placement.left,8,69,33696.0
2024-04-16 14:06:12.700000+02:00,Tug_Event.foot,Placement.left,8,71,31049.0
2024-04-16 14:06:12.800000+02:00,Tug_Event.foot,Placement.left,8,72,30191.0
2024-04-16 14:06:12.900000+02:00,Tug_Event.foot,Placement.left,12,80,48527.0
2024-04-16 14:06:13+02:00,Tug_Event.double_stance,,14,84,43021.0
2024-04-16 14:06:13.100000+02:00,Tug_Event.double_stance,,15,85,47654.0
2024-04-16 14:06:13.200000+02:00,Tug_Event.double_stance,,18,92,35143.0
2024-04-16 14:06:13.300000+02:00,Tug_Event.foot,Placement.right,18,92,34242.0
2024-04-16 14:06:13.400000+02:00,Tug_Event.foot,Placement.right,18,92,35049.0
2024-04-16 14:06:13.500000+02:00,Tug_Event.foot,Placement.right,18,93,33631.0
2024-04-16 14:06:13.600000+02:00,Tug_Event.foot,Placement.right,18,96,28171.0
2024-04-16 14:06:13.700000+02:00,Tug_Event.foot,Placement.right,18,98,25186.0
2024-04-16 14:06:13.800000+02:00,Tug_Event.foot,Placement.right,14,104,37822.0
2024-04-16 14:06:13.900000+02:00,Tug_Event.foot,Placement.left,12,106,38500.0
2024-04-16 14:06:14+02:00,Tug_Event.foot,Placement.left,11,110,38247.0
2024-04-16 14:06:14.100000+02:00,Tug_Event.foot,Placement.left,8,115,29787.0
2024-04-16 14:06:14.200000+02:00,Tug_Event.foot,Placement.left,8,115,29787.0
2024-04-16 14:06:14.300000+02:00,Tug_Event.foot,Placement.left,8,116,32169.0
2024-04-16 14:06:14.400000+02:00,Tug_Event.foot,Placement.left,8,117,33963.0
2024-04-16 14:06:14.500000+02:00,Tug_Event.foot,Placement.left,8,118,33654.0
2024-04-16 14:06:14.600000+02:00,Tug_Event.foot,Placement.left,8,119,33779.0
2024-04-16 14:06:14.700000+02:00,Tug_Event.foot,Placement.left,8,120,32571.0
2024-04-16 14:06:14.800000+02:00,Tug_Event.foot,Placement.left,11,126,43769.0
2024-04-16 14:06:14.900000+02:00,Tug_Event.double_stance,,12,129,41427.0
2024-04-16 14:06:15+02:00,Tug_Event.double_stance,,12,132,39973.0
2024-04-16 14:06:15.100000+02:00,Tug_Event.turn2,,17,143,26230.0
2024-04-16 14:06:18.900000+02:00,Tug_Event.sit,,11,157,17851.0
2024-04-16 14:06:19+02:00,Tug_Event.end,,,,
2024-04-16 14:05:56.500000+02:00,Tug_Event.start,,,,36546.0
2024-04-16 14:05:57.400000+02:00,Tug_Event.stand,,12,155,34136.0
2024-04-16 14:05:59.800000+02:00,Tug_Event.walk1,,12,140,41749.0
2024-04-16 14:05:59.900000+02:00,Tug_Event.double_stance,,11,138,42130.0
2024-04-16 14:06:00+02:00,Tug_Event.foot,Placement.right,11,136,36250.0
2024-04-16 14:06:00.100000+02:00,Tug_Event.foot,Placement.right,8,131,26195.0
2024-04-16 14:06:00.200000+02:00,Tug_Event.foot,Placement.right,8,130,29095.0
2024-04-16 14:06:00.300000+02:00,Tug_Event.foot,Placement.right,8,129,26828.0
2024-04-16 14:06:00.400000+02:00,Tug_Event.foot,Placement.right,8,129,26828.0
2024-04-16 14:06:00.500000+02:00,Tug_Event.foot,Placement.right,8,128,26474.0
2024-04-16 14:06:00.600000+02:00,Tug_Event.foot,Placement.right,8,127,24041.0
2024-04-16 14:06:00.700000+02:00,Tug_Event.foot,Placement.right,11,123,34830.0
2024-04-16 14:06:00.800000+02:00,Tug_Event.foot,Placement.right,11,121,41051.0
2024-04-16 14:06:00.900000+02:00,Tug_Event.foot,Placement.right,12,120,43493.0
2024-04-16 14:06:01+02:00,Tug_Event.double_stance,,14,117,48755.0
2024-04-16 14:06:01.100000+02:00,Tug_Event.double_stance,,14,117,48755.0
2024-04-16 14:06:01.200000+02:00,Tug_Event.foot,Placement.left,15,115,44939.0
2024-04-16 14:06:01.300000+02:00,Tug_Event.foot,Placement.left,19,110,30992.0
2024-04-16 14:06:01.400000+02:00,Tug_Event.foot,Placement.left,19,111,31373.0
2024-04-16 14:06:01.500000+02:00,Tug_Event.foot,Placement.left,19,109,29563.0
2024-04-16 14:06:01.600000+02:00,Tug_Event.foot,Placement.left,19,108,29470.0
2024-04-16 14:06:01.700000+02:00,Tug_Event.foot,Placement.left,19,108,29470.0
2024-04-16 14:06:01.800000+02:00,Tug_Event.foot,Placement.left,19,108,27601.0
2024-04-16 14:06:01.900000+02:00,Tug_Event.foot,Placement.left,19,107,28238.0
2024-04-16 14:06:02+02:00,Tug_Event.foot,Placement.left,14,100,52165.0
2024-04-16 14:06:02.100000+02:00,Tug_Event.double_stance,,13,99,52627.0
2024-04-16 14:06:02.200000+02:00,Tug_Event.double_stance,,13,96,50303.0
2024-04-16 14:06:02.300000+02:00,Tug_Event.foot,Placement.right,9,91,33849.0
2024-04-16 14:06:02.400000+02:00,Tug_Event.foot,Placement.right,8,91,29919.0
2024-04-16 14:06:02.500000+02:00,Tug_Event.foot,Placement.right,8,91,30542.0
2024-04-16 14:06:02.600000+02:00,Tug_Event.foot,Placement.right,8,91,30542.0
2024-04-16 14:06:02.700000+02:00,Tug_Event.foot,Placement.right,8,90,34520.0
2024-04-16 14:06:02.800000+02:00,Tug_Event.foot,Placement.right,8,89,40221.0
2024-04-16 14:06:02.900000+02:00,Tug_Event.foot,Placement.right,8,87,41690.0
2024-04-16 14:06:03+02:00,Tug_Event.foot,Placement.right,7,85,37442.0
2024-04-16 14:06:03.100000+02:00,Tug_Event.foot,Placement.right,13,79,63207.0
2024-04-16 14:06:03.200000+02:00,Tug_Event.foot,Placement.left,14,77,56485.0
2024-04-16 14:06:03.300000+02:00,Tug_Event.foot,Placement.left,14,76,58360.0
2024-04-16 14:06:03.400000+02:00,Tug_Event.foot,Placement.left,15,75,53392.0
2024-04-16 14:06:03.500000+02:00,Tug_Event.foot,Placement.left,19,71,35294.0
2024-04-16 14:06:03.600000+02:00,Tug_Event.foot,Placement.left,19,71,35418.0
2024-04-16 14:06:03.700000+02:00,Tug_Event.foot,Placement.left,19,70,35190.0
2024-04-16 14:06:03.800000+02:00,Tug_Event.foot,Placement.left,19,70,35716.0
2024-04-16 14:06:03.900000+02:00,Tug_Event.foot,Placement.left,19,69,35925.0
2024-04-16 14:06:04+02:00,Tug_Event.foot,Placement.left,19,69,35925.0
2024-04-16 14:06:04.100000+02:00,Tug_Event.foot,Placement.left,19,69,36800.0
2024-04-16 14:06:04.200000+02:00,Tug_Event.double_stance,,15,62,53731.0
2024-04-16 14:06:04.300000+02:00,Tug_Event.foot,Placement.left,14,59,52677.0
2024-04-16 14:06:04.400000+02:00,Tug_Event.foot,Placement.left,14,58,49446.0
2024-04-16 14:06:04.500000+02:00,Tug_Event.foot,Placement.right,11,54,37630.0
2024-04-16 14:06:04.600000+02:00,Tug_Event.foot,Placement.right,8,49,26869.0
2024-04-16 14:06:04.700000+02:00,Tug_Event.foot,Placement.right,8,49,26869.0
2024-04-16 14:06:04.800000+02:00,Tug_Event.foot,Placement.right,8,48,27478.0
2024-04-16 14:06:04.900000+02:00,Tug_Event.foot,Placement.right,8,47,28469.0
2024-04-16 14:06:05+02:00,Tug_Event.foot,Placement.right,8,47,29513.0
2024-04-16 14:06:05.100000+02:00,Tug_Event.foot,Placement.right,8,46,28570.0
2024-04-16 14:06:05.200000+02:00,Tug_Event.foot,Placement.right,8,46,28570.0
2024-04-16 14:06:05.300000+02:00,Tug_Event.foot,Placement.right,11,41,40613.0
2024-04-16 14:06:05.400000+02:00,Tug_Event.foot,Placement.right,13,38,51206.0
2024-04-16 14:06:05.500000+02:00,Tug_Event.foot,Placement.left,15,35,51563.0
2024-04-16 14:06:05.600000+02:00,Tug_Event.double_stance,,18,32,41443.0
2024-04-16 14:06:05.700000+02:00,Tug_Event.foot,Placement.left,20,29,33649.0
2024-04-16 14:06:05.800000+02:00,Tug_Event.foot,Placement.left,20,29,33021.0
2024-04-16 14:06:05.900000+02:00,Tug_Event.foot,Placement.left,20,29,34042.0
2024-04-16 14:06:06+02:00,Tug_Event.foot,Placement.left,20,29,34042.0
2024-04-16 14:06:06.100000+02:00,Tug_Event.foot,Placement.left,20,28,34698.0
2024-04-16 14:06:06.200000+02:00,Tug_Event.foot,Placement.left,20,27,36658.0
2024-04-16 14:06:06.300000+02:00,Tug_Event.foot,Placement.left,21,25,36738.0
2024-04-16 14:06:06.400000+02:00,Tug_Event.foot,Placement.left,20,25,35051.0
2024-04-16 14:06:06.500000+02:00,Tug_Event.foot,Placement.left,19,22,42998.0
2024-04-16 14:06:06.600000+02:00,Tug_Event.foot,Placement.left,19,22,42998.0
2024-04-16 14:06:06.700000+02:00,Tug_Event.turn1,,18,18,45835.0
2024-04-16 14:06:10.600000+02:00,Tug_Event.walk2,,10,21,36742.0
2024-04-16 14:06:10.700000+02:00,Tug_Event.foot,Placement.left,10,21,36742.0
2024-04-16 14:06:10.800000+02:00,Tug_Event.foot,Placement.left,9,23,31149.0
2024-04-16 14:06:10.900000+02:00,Tug_Event.foot,Placement.left,9,26,34849.0
2024-04-16 14:06:11+02:00,Tug_Event.foot,Placement.left,9,28,32779.0
2024-04-16 14:06:11.100000+02:00,Tug_Event.foot,Placement.left,8,29,30167.0
2024-04-16 14:06:11.200000+02:00,Tug_Event.foot,Placement.left,8,30,30723.0
2024-04-16 14:06:11.300000+02:00,Tug_Event.foot,Placement.left,8,30,30723.0
2024-04-16 14:06:11.400000+02:00,Tug_Event.foot,Placement.left,13,36,47276.0
2024-04-16 14:06:11.500000+02:00,Tug_Event.foot,Placement.right,17,41,33846.0
2024-04-16 14:06:11.600000+02:00,Tug_Event.foot,Placement.right,19,46,27940.0
2024-04-16 14:06:11.700000+02:00,Tug_Event.foot,Placement.right,18,47,27398.0
2024-04-16 14:06:11.800000+02:00,Tug_Event.foot,Placement.right,19,49,26666.0
2024-04-16 14:06:11.900000+02:00,Tug_Event.foot,Placement.right,18,50,26728.0
2024-04-16 14:06:12+02:00,Tug_Event.foot,Placement.right,16,53,36750.0
2024-04-16 14:06:12.100000+02:00,Tug_Event.foot,Placement.right,16,53,36750.0
2024-04-16 14:06:12.200000+02:00,Tug_Event.foot,Placement.right,14,57,46036.0
2024-04-16 14:06:12.300000+02:00,Tug_Event.foot,Placement.left,12,62,41594.0
2024-04-16 14:06:12.400000+02:00,Tug_Event.foot,Placement.left,9,67,32748.0
2024-04-16 14:06:12.500000+02:00,Tug_Event.foot,Placement.left,9,68,33175.0
2024-04-16 14:06:12.600000+02:00,Tug_Event.foot,Placement.left,8,69,33696.0
2024-04-16 14:06:12.700000+02:00,Tug_Event.foot,Placement.left,8,71,31049.0
2024-04-16 14:06:12.800000+02:00,Tug_Event.foot,Placement.left,8,72,30191.0
2024-04-16 14:06:12.900000+02:00,Tug_Event.foot,Placement.left,12,80,48527.0
2024-04-16 14:06:13+02:00,Tug_Event.double_stance,,14,84,43021.0
2024-04-16 14:06:13.100000+02:00,Tug_Event.double_stance,,15,85,47654.0
2024-04-16 14:06:13.200000+02:00,Tug_Event.double_stance,,18,92,35143.0
2024-04-16 14:06:13.300000+02:00,Tug_Event.foot,Placement.right,18,92,34242.0
2024-04-16 14:06:13.400000+02:00,Tug_Event.foot,Placement.right,18,92,35049.0
2024-04-16 14:06:13.500000+02:00,Tug_Event.foot,Placement.right,18,93,33631.0
2024-04-16 14:06:13.600000+02:00,Tug_Event.foot,Placement.right,18,96,28171.0
2024-04-16 14:06:13.700000+02:00,Tug_Event.foot,Placement.right,18,98,25186.0
2024-04-16 14:06:13.800000+02:00,Tug_Event.foot,Placement.right,14,104,37822.0
2024-04-16 14:06:13.900000+02:00,Tug_Event.foot,Placement.left,12,106,38500.0
2024-04-16 14:06:14+02:00,Tug_Event.foot,Placement.left,11,110,38247.0
2024-04-16 14:06:14.100000+02:00,Tug_Event.foot,Placement.left,8,115,29787.0
2024-04-16 14:06:14.200000+02:00,Tug_Event.foot,Placement.left,8,115,29787.0
2024-04-16 14:06:14.300000+02:00,Tug_Event.foot,Placement.left,8,116,32169.0
2024-04-16 14:06:14.400000+02:00,Tug_Event.foot,Placement.left,8,117,33963.0
2024-04-16 14:06:14.500000+02:00,Tug_Event.foot,Placement.left,8,118,33654.0
2024-04-16 14:06:14.600000+02:00,Tug_Event.foot,Placement.left,8,119,33779.0
2024-04-16 14:06:14.700000+02:00,Tug_Event.foot,Placement.left,8,120,32571.0
2024-04-16 14:06:14.800000+02:00,Tug_Event.foot,Placement.left,11,126,43769.0
2024-04-16 14:06:14.900000+02:00,Tug_Event.double_stance,,12,129,41427.0
2024-04-16 14:06:15+02:00,Tug_Event.double_stance,,12,132,39973.0
2024-04-16 14:06:15.100000+02:00,Tug_Event.turn2,,17,143,26230.0
2024-04-16 14:06:18.900000+02:00,Tug_Event.sit,,11,157,17851.0
2024-04-16 14:06:19+02:00,Tug_Event.end,,,,
