timestamp,event,placement,COP_x,COP_y,total_pressure
2024-04-16 13:43:07.700000+02:00,Tug_Event.start,,,,37695.0
2024-04-16 13:43:07.900000+02:00,Tug_Event.stand,,13,156,28685.0
2024-04-16 13:43:09.100000+02:00,Tug_Event.walk1,,14,132,34020.0
2024-04-16 13:43:09.200000+02:00,Tug_Event.foot,Placement.right,11,122,26930.0
2024-04-16 13:43:09.300000+02:00,Tug_Event.foot,Placement.right,11,120,28513.0
2024-04-16 13:43:09.400000+02:00,Tug_Event.foot,Placement.right,11,118,29036.0
2024-04-16 13:43:09.500000+02:00,Tug_Event.foot,Placement.right,11,117,30333.0
2024-04-16 13:43:09.600000+02:00,Tug_Event.double_stance,,14,107,43014.0
2024-04-16 13:43:09.700000+02:00,Tug_Event.double_stance,,14,107,43014.0
2024-04-16 13:43:09.800000+02:00,Tug_Event.double_stance,,16,93,32108.0
2024-04-16 13:43:09.900000+02:00,Tug_Event.foot,Placement.left,17,89,32318.0
2024-04-16 13:43:10+02:00,Tug_Event.foot,Placement.left,17,87,30299.0
2024-04-16 13:43:10.100000+02:00,Tug_Event.foot,Placement.left,17,86,30313.0
2024-04-16 13:43:10.200000+02:00,Tug_Event.double_stance,,15,76,43480.0
2024-04-16 13:43:10.300000+02:00,Tug_Event.foot,Placement.right,11,60,24484.0
2024-04-16 13:43:10.400000+02:00,Tug_Event.foot,Placement.right,11,60,26074.0
2024-04-16 13:43:10.500000+02:00,Tug_Event.foot,Placement.right,11,57,28027.0
2024-04-16 13:43:10.600000+02:00,Tug_Event.foot,Placement.right,11,56,30318.0
2024-04-16 13:43:10.700000+02:00,Tug_Event.foot,Placement.right,11,56,30318.0
2024-04-16 13:43:10.800000+02:00,Tug_Event.double_stance,,12,48,38195.0
2024-04-16 13:43:10.900000+02:00,Tug_Event.foot,Placement.left,15,31,27811.0
2024-04-16 13:43:11+02:00,Tug_Event.foot,Placement.left,16,29,28654.0
2024-04-16 13:43:11.100000+02:00,Tug_Event.foot,Placement.left,16,28,28948.0
2024-04-16 13:43:11.200000+02:00,Tug_Event.foot,Placement.left,16,28,28104.0
2024-04-16 13:43:11.300000+02:00,Tug_Event.double_stance,,16,24,27349.0
2024-04-16 13:43:11.400000+02:00,Tug_Event.turn1,,14,13,46194.0
2024-04-16 13:43:12.600000+02:00,Tug_Event.walk2,,11,24,43845.0
2024-04-16 13:43:12.700000+02:00,Tug_Event.foot,Placement.right,15,38,21505.0
2024-04-16 13:43:12.800000+02:00,Tug_Event.foot,Placement.right,15,38,22658.0
2024-04-16 13:43:12.900000+02:00,Tug_Event.foot,Placement.right,15,40,23654.0
2024-04-16 13:43:13+02:00,Tug_Event.foot,Placement.right,15,42,25583.0
2024-04-16 13:43:13.100000+02:00,Tug_Event.double_stance,,12,55,44698.0
2024-04-16 13:43:13.200000+02:00,Tug_Event.double_stance,,12,55,44698.0
2024-04-16 13:43:13.300000+02:00,Tug_Event.foot,Placement.left,9,67,29030.0
2024-04-16 13:43:13.400000+02:00,Tug_Event.foot,Placement.left,9,67,28678.0
2024-04-16 13:43:13.500000+02:00,Tug_Event.foot,Placement.left,9,70,28868.0
2024-04-16 13:43:13.600000+02:00,Tug_Event.double_stance,,9,74,30555.0
2024-04-16 13:43:13.700000+02:00,Tug_Event.double_stance,,12,84,38235.0
2024-04-16 13:43:13.800000+02:00,Tug_Event.foot,Placement.right,15,96,24240.0
2024-04-16 13:43:13.900000+02:00,Tug_Event.foot,Placement.right,15,96,24240.0
2024-04-16 13:43:14+02:00,Tug_Event.foot,Placement.right,15,98,25605.0
2024-04-16 13:43:14.100000+02:00,Tug_Event.foot,Placement.right,15,100,26414.0
2024-04-16 13:43:14.200000+02:00,Tug_Event.double_stance,,14,107,35635.0
2024-04-16 13:43:14.300000+02:00,Tug_Event.double_stance,,13,116,31230.0
2024-04-16 13:43:14.400000+02:00,Tug_Event.foot,Placement.left,12,126,24203.0
2024-04-16 13:43:14.500000+02:00,Tug_Event.foot,Placement.left,12,128,22746.0
2024-04-16 13:43:14.600000+02:00,Tug_Event.foot,Placement.left,12,129,24351.0
2024-04-16 13:43:14.700000+02:00,Tug_Event.foot,Placement.left,12,129,24351.0
2024-04-16 13:43:14.800000+02:00,Tug_Event.foot,Placement.right,16,136,40905.0
2024-04-16 13:43:14.900000+02:00,Tug_Event.turn2,,19,143,29441.0
2024-04-16 13:43:16.800000+02:00,Tug_Event.sit,,14,152,16892.0
2024-04-16 13:43:16.900000+02:00,Tug_Event.end,,,,
