timestamp,event,placement,COP_x,COP_y,total_pressure
2024-04-16 09:49:13.600000+02:00,Tug_Event.start,,,,33873.0
2024-04-16 09:49:14.800000+02:00,Tug_Event.stand,,13,151,26952.0
2024-04-16 09:49:16.600000+02:00,Tug_Event.walk1,,16,148,30187.0
2024-04-16 09:49:16.700000+02:00,Tug_Event.foot,Placement.right,14,144,37289.0
2024-04-16 09:49:16.800000+02:00,Tug_Event.foot,Placement.right,11,141,27875.0
2024-04-16 09:49:16.900000+02:00,Tug_Event.foot,Placement.right,9,138,22643.0
2024-04-16 09:49:17+02:00,Tug_Event.foot,Placement.right,9,138,22643.0
2024-04-16 09:49:17.100000+02:00,Tug_Event.foot,Placement.right,9,138,23565.0
2024-04-16 09:49:17.200000+02:00,Tug_Event.foot,Placement.right,9,138,22967.0
2024-04-16 09:49:17.300000+02:00,Tug_Event.foot,Placement.right,9,137,22254.0
2024-04-16 09:49:17.400000+02:00,Tug_Event.foot,Placement.right,9,138,22130.0
2024-04-16 09:49:17.500000+02:00,Tug_Event.foot,Placement.right,10,137,21925.0
2024-04-16 09:49:17.600000+02:00,Tug_Event.foot,Placement.right,10,136,22677.0
2024-04-16 09:49:17.700000+02:00,Tug_Event.foot,Placement.left,16,126,45331.0
2024-04-16 09:49:17.800000+02:00,Tug_Event.foot,Placement.left,18,122,35439.0
2024-04-16 09:49:17.900000+02:00,Tug_Event.foot,Placement.left,18,122,35439.0
2024-04-16 09:49:18+02:00,Tug_Event.foot,Placement.left,19,120,34823.0
2024-04-16 09:49:18.100000+02:00,Tug_Event.foot,Placement.left,19,120,34151.0
2024-04-16 09:49:18.200000+02:00,Tug_Event.foot,Placement.left,19,118,32529.0
2024-04-16 09:49:18.300000+02:00,Tug_Event.foot,Placement.left,19,117,29395.0
2024-04-16 09:49:18.400000+02:00,Tug_Event.foot,Placement.left,19,117,27350.0
2024-04-16 09:49:18.500000+02:00,Tug_Event.foot,Placement.left,17,112,37335.0
2024-04-16 09:49:18.600000+02:00,Tug_Event.double_stance,,15,107,38132.0
2024-04-16 09:49:18.700000+02:00,Tug_Event.double_stance,,15,107,38132.0
2024-04-16 09:49:18.800000+02:00,Tug_Event.double_stance,,12,101,29117.0
2024-04-16 09:49:18.900000+02:00,Tug_Event.foot,Placement.right,11,98,23291.0
2024-04-16 09:49:19+02:00,Tug_Event.foot,Placement.right,11,98,22440.0
2024-04-16 09:49:19.100000+02:00,Tug_Event.foot,Placement.right,11,97,21870.0
2024-04-16 09:49:19.200000+02:00,Tug_Event.foot,Placement.right,10,96,21469.0
2024-04-16 09:49:19.300000+02:00,Tug_Event.foot,Placement.right,10,96,22053.0
2024-04-16 09:49:19.400000+02:00,Tug_Event.foot,Placement.right,11,95,23196.0
2024-04-16 09:49:19.500000+02:00,Tug_Event.foot,Placement.right,11,95,23649.0
2024-04-16 09:49:19.600000+02:00,Tug_Event.foot,Placement.right,12,91,30100.0
2024-04-16 09:49:19.700000+02:00,Tug_Event.double_stance,,15,82,38553.0
2024-04-16 09:49:19.800000+02:00,Tug_Event.foot,Placement.left,17,75,30678.0
2024-04-16 09:49:19.900000+02:00,Tug_Event.foot,Placement.left,17,75,31878.0
2024-04-16 09:49:20+02:00,Tug_Event.foot,Placement.left,17,74,32259.0
2024-04-16 09:49:20.100000+02:00,Tug_Event.foot,Placement.left,17,74,31868.0
2024-04-16 09:49:20.200000+02:00,Tug_Event.foot,Placement.left,17,74,32142.0
2024-04-16 09:49:20.300000+02:00,Tug_Event.foot,Placement.left,17,74,32142.0
2024-04-16 09:49:20.400000+02:00,Tug_Event.foot,Placement.left,17,73,33779.0
2024-04-16 09:49:20.500000+02:00,Tug_Event.double_stance,,13,65,50145.0
2024-04-16 09:49:20.600000+02:00,Tug_Event.double_stance,,12,61,45721.0
2024-04-16 09:49:20.700000+02:00,Tug_Event.foot,Placement.right,9,54,30305.0
2024-04-16 09:49:20.800000+02:00,Tug_Event.foot,Placement.right,9,55,29977.0
2024-04-16 09:49:20.900000+02:00,Tug_Event.foot,Placement.right,9,55,30643.0
2024-04-16 09:49:21+02:00,Tug_Event.foot,Placement.right,9,55,30553.0
2024-04-16 09:49:21.100000+02:00,Tug_Event.foot,Placement.right,9,55,30553.0
2024-04-16 09:49:21.200000+02:00,Tug_Event.foot,Placement.right,9,54,30163.0
2024-04-16 09:49:21.300000+02:00,Tug_Event.foot,Placement.right,9,52,31683.0
2024-04-16 09:49:21.400000+02:00,Tug_Event.foot,Placement.right,12,46,44915.0
2024-04-16 09:49:21.500000+02:00,Tug_Event.foot,Placement.left,14,42,37079.0
2024-04-16 09:49:21.600000+02:00,Tug_Event.foot,Placement.left,16,38,26913.0
2024-04-16 09:49:21.700000+02:00,Tug_Event.foot,Placement.left,16,37,26520.0
2024-04-16 09:49:21.800000+02:00,Tug_Event.foot,Placement.left,16,37,26520.0
2024-04-16 09:49:21.900000+02:00,Tug_Event.foot,Placement.left,16,37,26692.0
2024-04-16 09:49:22+02:00,Tug_Event.foot,Placement.left,16,36,26184.0
2024-04-16 09:49:22.100000+02:00,Tug_Event.foot,Placement.left,16,35,25858.0
2024-04-16 09:49:22.200000+02:00,Tug_Event.double_stance,,12,24,46977.0
2024-04-16 09:49:22.300000+02:00,Tug_Event.double_stance,,10,20,43190.0
2024-04-16 09:49:22.400000+02:00,Tug_Event.turn1,,8,14,33664.0
2024-04-16 09:49:25.300000+02:00,Tug_Event.walk2,,14,22,40978.0
2024-04-16 09:49:25.400000+02:00,Tug_Event.double_stance,,12,26,29260.0
2024-04-16 09:49:25.500000+02:00,Tug_Event.double_stance,,11,26,29631.0
2024-04-16 09:49:25.600000+02:00,Tug_Event.double_stance,,11,26,29631.0
2024-04-16 09:49:25.700000+02:00,Tug_Event.double_stance,,11,26,29160.0
2024-04-16 09:49:25.800000+02:00,Tug_Event.double_stance,,11,27,28587.0
2024-04-16 09:49:25.900000+02:00,Tug_Event.double_stance,,12,29,30498.0
2024-04-16 09:49:26+02:00,Tug_Event.double_stance,,14,36,46805.0
2024-04-16 09:49:26.100000+02:00,Tug_Event.double_stance,,16,41,38220.0
2024-04-16 09:49:26.200000+02:00,Tug_Event.foot,Placement.right,18,47,25292.0
2024-04-16 09:49:26.300000+02:00,Tug_Event.foot,Placement.right,18,47,26149.0
2024-04-16 09:49:26.400000+02:00,Tug_Event.foot,Placement.right,18,47,27376.0
2024-04-16 09:49:26.500000+02:00,Tug_Event.foot,Placement.right,18,46,26674.0
2024-04-16 09:49:26.600000+02:00,Tug_Event.foot,Placement.right,18,46,26341.0
2024-04-16 09:49:26.700000+02:00,Tug_Event.foot,Placement.right,18,46,26341.0
2024-04-16 09:49:26.800000+02:00,Tug_Event.foot,Placement.right,18,48,28158.0
2024-04-16 09:49:26.900000+02:00,Tug_Event.foot,Placement.right,14,56,48190.0
2024-04-16 09:49:27+02:00,Tug_Event.double_stance,,12,59,47985.0
2024-04-16 09:49:27.100000+02:00,Tug_Event.foot,Placement.left,9,67,31314.0
2024-04-16 09:49:27.200000+02:00,Tug_Event.foot,Placement.left,9,67,31168.0
2024-04-16 09:49:27.300000+02:00,Tug_Event.foot,Placement.left,9,67,31074.0
2024-04-16 09:49:27.400000+02:00,Tug_Event.foot,Placement.left,9,67,31317.0
2024-04-16 09:49:27.500000+02:00,Tug_Event.foot,Placement.left,9,67,31317.0
2024-04-16 09:49:27.600000+02:00,Tug_Event.foot,Placement.left,9,68,31869.0
2024-04-16 09:49:27.700000+02:00,Tug_Event.foot,Placement.left,12,74,51318.0
2024-04-16 09:49:27.800000+02:00,Tug_Event.double_stance,,13,78,54340.0
2024-04-16 09:49:27.900000+02:00,Tug_Event.foot,Placement.right,16,84,32889.0
2024-04-16 09:49:28+02:00,Tug_Event.foot,Placement.right,16,85,31884.0
2024-04-16 09:49:28.100000+02:00,Tug_Event.foot,Placement.right,16,85,31884.0
2024-04-16 09:49:28.200000+02:00,Tug_Event.foot,Placement.right,16,85,32167.0
2024-04-16 09:49:28.300000+02:00,Tug_Event.foot,Placement.right,16,86,32510.0
2024-04-16 09:49:28.400000+02:00,Tug_Event.foot,Placement.right,16,87,30877.0
2024-04-16 09:49:28.500000+02:00,Tug_Event.foot,Placement.right,15,90,30615.0
2024-04-16 09:49:28.600000+02:00,Tug_Event.foot,Placement.left,12,97,45413.0
2024-04-16 09:49:28.700000+02:00,Tug_Event.foot,Placement.left,9,106,26999.0
2024-04-16 09:49:28.800000+02:00,Tug_Event.foot,Placement.left,9,106,26933.0
2024-04-16 09:49:28.900000+02:00,Tug_Event.foot,Placement.left,9,106,26933.0
2024-04-16 09:49:29+02:00,Tug_Event.foot,Placement.left,9,106,27114.0
2024-04-16 09:49:29.100000+02:00,Tug_Event.foot,Placement.left,9,107,26738.0
2024-04-16 09:49:29.200000+02:00,Tug_Event.foot,Placement.left,9,108,26056.0
2024-04-16 09:49:29.300000+02:00,Tug_Event.foot,Placement.left,9,108,25337.0
2024-04-16 09:49:29.400000+02:00,Tug_Event.double_stance,,13,118,47918.0
2024-04-16 09:49:29.500000+02:00,Tug_Event.double_stance,,15,123,37391.0
2024-04-16 09:49:29.600000+02:00,Tug_Event.foot,Placement.right,16,126,32577.0
2024-04-16 09:49:29.700000+02:00,Tug_Event.foot,Placement.right,16,126,32577.0
2024-04-16 09:49:29.800000+02:00,Tug_Event.foot,Placement.right,16,126,34177.0
2024-04-16 09:49:29.900000+02:00,Tug_Event.foot,Placement.right,17,127,30626.0
