timestamp,event,placement,COP_x,COP_y,total_pressure
2024-04-16 13:58:18.700000+02:00,Tug_Event.start,,,,35620.0
2024-04-16 13:58:18.900000+02:00,Tug_Event.stand,,10,157,27926.0
2024-04-16 13:58:22+02:00,Tug_Event.walk1,,11,145,32089.0
2024-04-16 13:58:22.100000+02:00,Tug_Event.double_stance,,3,141,23099.0
2024-04-16 13:58:22.200000+02:00,Tug_Event.double_stance,,3,139,24172.0
2024-04-16 13:58:22.300000+02:00,Tug_Event.double_stance,,6,138,30847.0
2024-04-16 13:58:22.400000+02:00,Tug_Event.double_stance,,6,138,30847.0
2024-04-16 13:58:22.500000+02:00,Tug_Event.double_stance,,12,134,48042.0
2024-04-16 13:58:22.600000+02:00,Tug_Event.double_stance,,13,133,47026.0
2024-04-16 13:58:22.700000+02:00,Tug_Event.double_stance,,14,133,44225.0
2024-04-16 13:58:22.800000+02:00,Tug_Event.double_stance,,17,132,34928.0
2024-04-16 13:58:22.900000+02:00,Tug_Event.double_stance,,19,131,30258.0
2024-04-16 13:58:23+02:00,Tug_Event.double_stance,,19,131,32200.0
2024-04-16 13:58:23.100000+02:00,Tug_Event.double_stance,,19,130,33851.0
2024-04-16 13:58:23.200000+02:00,Tug_Event.double_stance,,19,130,33851.0
2024-04-16 13:58:23.300000+02:00,Tug_Event.double_stance,,19,128,35126.0
2024-04-16 13:58:23.400000+02:00,Tug_Event.foot,Placement.left,13,127,50238.0
2024-04-16 13:58:23.500000+02:00,Tug_Event.foot,Placement.right,7,124,46441.0
2024-04-16 13:58:23.600000+02:00,Tug_Event.foot,Placement.right,3,122,36054.0
2024-04-16 13:58:23.700000+02:00,Tug_Event.double_stance,,3,121,35849.0
2024-04-16 13:58:23.800000+02:00,Tug_Event.double_stance,,3,119,34996.0
2024-04-16 13:58:23.900000+02:00,Tug_Event.foot,Placement.right,9,117,53082.0
2024-04-16 13:58:24+02:00,Tug_Event.foot,Placement.right,9,117,53082.0
2024-04-16 13:58:24.100000+02:00,Tug_Event.foot,Placement.left,11,113,62375.0
2024-04-16 13:58:24.200000+02:00,Tug_Event.foot,Placement.left,12,112,55271.0
2024-04-16 13:58:24.300000+02:00,Tug_Event.foot,Placement.left,15,112,44416.0
2024-04-16 13:58:24.400000+02:00,Tug_Event.foot,Placement.left,19,109,35886.0
2024-04-16 13:58:24.500000+02:00,Tug_Event.foot,Placement.left,19,108,33500.0
2024-04-16 13:58:24.600000+02:00,Tug_Event.foot,Placement.left,19,108,34897.0
2024-04-16 13:58:24.700000+02:00,Tug_Event.foot,Placement.left,19,108,34897.0
2024-04-16 13:58:24.800000+02:00,Tug_Event.foot,Placement.left,19,106,36197.0
2024-04-16 13:58:24.900000+02:00,Tug_Event.double_stance,,18,105,37040.0
2024-04-16 13:58:25+02:00,Tug_Event.double_stance,,13,103,53158.0
2024-04-16 13:58:25.100000+02:00,Tug_Event.double_stance,,10,100,49218.0
2024-04-16 13:58:25.200000+02:00,Tug_Event.double_stance,,9,96,41041.0
2024-04-16 13:58:25.300000+02:00,Tug_Event.foot,Placement.right,5,94,30240.0
2024-04-16 13:58:25.400000+02:00,Tug_Event.foot,Placement.right,2,92,24624.0
2024-04-16 13:58:25.500000+02:00,Tug_Event.foot,Placement.right,2,91,23877.0
2024-04-16 13:58:25.600000+02:00,Tug_Event.foot,Placement.right,2,91,23173.0
2024-04-16 13:58:25.700000+02:00,Tug_Event.foot,Placement.right,2,92,23237.0
2024-04-16 13:58:25.800000+02:00,Tug_Event.foot,Placement.right,2,92,23427.0
2024-04-16 13:58:25.900000+02:00,Tug_Event.foot,Placement.right,2,92,23427.0
2024-04-16 13:58:26+02:00,Tug_Event.double_stance,,12,83,50958.0
2024-04-16 13:58:26.100000+02:00,Tug_Event.double_stance,,15,79,53507.0
2024-04-16 13:58:26.200000+02:00,Tug_Event.foot,Placement.left,16,78,46923.0
2024-04-16 13:58:26.300000+02:00,Tug_Event.foot,Placement.left,16,77,38814.0
2024-04-16 13:58:26.400000+02:00,Tug_Event.foot,Placement.left,11,79,61503.0
2024-04-16 13:58:26.500000+02:00,Tug_Event.foot,Placement.right,9,78,63691.0
2024-04-16 13:58:26.600000+02:00,Tug_Event.foot,Placement.right,8,78,60710.0
2024-04-16 13:58:26.700000+02:00,Tug_Event.foot,Placement.right,6,79,56670.0
2024-04-16 13:58:26.800000+02:00,Tug_Event.foot,Placement.right,3,80,40900.0
2024-04-16 13:58:26.900000+02:00,Tug_Event.foot,Placement.right,2,80,40002.0
2024-04-16 13:58:27+02:00,Tug_Event.foot,Placement.right,2,80,40098.0
2024-04-16 13:58:27.100000+02:00,Tug_Event.foot,Placement.right,5,77,45227.0
2024-04-16 13:58:27.200000+02:00,Tug_Event.double_stance,,11,68,45977.0
2024-04-16 13:58:27.300000+02:00,Tug_Event.double_stance,,11,68,45977.0
2024-04-16 13:58:27.400000+02:00,Tug_Event.foot,Placement.left,15,63,33531.0
2024-04-16 13:58:27.500000+02:00,Tug_Event.foot,Placement.left,17,60,30282.0
2024-04-16 13:58:27.600000+02:00,Tug_Event.foot,Placement.left,17,60,30405.0
2024-04-16 13:58:27.700000+02:00,Tug_Event.foot,Placement.left,12,62,48666.0
2024-04-16 13:58:27.800000+02:00,Tug_Event.foot,Placement.left,10,61,47866.0
2024-04-16 13:58:27.900000+02:00,Tug_Event.foot,Placement.right,10,60,45806.0
2024-04-16 13:58:28+02:00,Tug_Event.foot,Placement.right,6,60,34328.0
2024-04-16 13:58:28.100000+02:00,Tug_Event.foot,Placement.right,2,61,27317.0
2024-04-16 13:58:28.200000+02:00,Tug_Event.foot,Placement.right,2,61,27317.0
2024-04-16 13:58:28.300000+02:00,Tug_Event.foot,Placement.right,2,60,26588.0
2024-04-16 13:58:28.400000+02:00,Tug_Event.foot,Placement.right,2,58,21582.0
2024-04-16 13:58:28.500000+02:00,Tug_Event.double_stance,,7,51,35903.0
2024-04-16 13:58:28.600000+02:00,Tug_Event.double_stance,,12,43,34133.0
2024-04-16 13:58:28.700000+02:00,Tug_Event.double_stance,,14,40,28073.0
2024-04-16 13:58:28.800000+02:00,Tug_Event.foot,Placement.left,15,39,26848.0
2024-04-16 13:58:28.900000+02:00,Tug_Event.foot,Placement.left,13,39,33205.0
2024-04-16 13:58:29+02:00,Tug_Event.foot,Placement.right,10,37,44588.0
2024-04-16 13:58:29.100000+02:00,Tug_Event.foot,Placement.right,10,37,44588.0
2024-04-16 13:58:29.200000+02:00,Tug_Event.foot,Placement.right,9,36,40098.0
2024-04-16 13:58:29.300000+02:00,Tug_Event.foot,Placement.right,6,35,28079.0
2024-04-16 13:58:29.400000+02:00,Tug_Event.foot,Placement.right,1,37,19705.0
2024-04-16 13:58:29.500000+02:00,Tug_Event.foot,Placement.right,1,37,19801.0
2024-04-16 13:58:29.600000+02:00,Tug_Event.foot,Placement.right,5,33,28511.0
2024-04-16 13:58:29.700000+02:00,Tug_Event.foot,Placement.right,11,23,40072.0
2024-04-16 13:58:29.800000+02:00,Tug_Event.foot,Placement.right,11,23,40072.0
2024-04-16 13:58:29.900000+02:00,Tug_Event.turn1,,14,19,33643.0
2024-04-16 13:58:31.400000+02:00,Tug_Event.walk2,,5,21,47656.0
2024-04-16 13:58:31.500000+02:00,Tug_Event.double_stance,,5,24,46587.0
2024-04-16 13:58:31.600000+02:00,Tug_Event.foot,Placement.left,5,25,46499.0
2024-04-16 13:58:31.700000+02:00,Tug_Event.foot,Placement.left,5,25,46138.0
2024-04-16 13:58:31.800000+02:00,Tug_Event.foot,Placement.left,4,25,42812.0
2024-04-16 13:58:31.900000+02:00,Tug_Event.foot,Placement.left,4,25,38951.0
2024-04-16 13:58:32+02:00,Tug_Event.foot,Placement.left,8,24,54314.0
2024-04-16 13:58:32.100000+02:00,Tug_Event.foot,Placement.right,14,25,62872.0
2024-04-16 13:58:32.200000+02:00,Tug_Event.foot,Placement.right,14,25,62872.0
2024-04-16 13:58:32.300000+02:00,Tug_Event.foot,Placement.right,19,25,45385.0
2024-04-16 13:58:32.400000+02:00,Tug_Event.foot,Placement.right,19,25,46407.0
2024-04-16 13:58:32.500000+02:00,Tug_Event.foot,Placement.right,18,26,48491.0
2024-04-16 13:58:32.600000+02:00,Tug_Event.double_stance,,16,31,60381.0
2024-04-16 13:58:32.700000+02:00,Tug_Event.double_stance,,15,36,55905.0
